canonical_name	abbreviation	format	standard_status_hint	source_section	description
$COMPILE		$COMPILE( source , language , errors , object ) $COMPILE( source , language , errors , object ,,, rname )	ansi	site/RCOS_fcompile.html#RCOS_fcompile	$COMPILE compiles source code and produces OBJ (object) code (the executable form of the routine). $COMPILE reports compilation errors, and can be used to check source code for compilation errors without actually producing object code. $COMPILE takes as input INT code, not MAC code. Therefore, before compiling, any macros in the source code must be resolved by a preprocessor such as the ObjectScript macro preprocessor.
$DATA		$DATA( variable , target ) $D( variable , target )	ansi	site/RCOS_fdata.html#RCOS_fdata	You can use $DATA to test whether a variable contains data before attempting an operation on it. $DATA returns status information about the specified variable. The variable argument can be the name of any variable (local variable, process-private global, or global), and can include a subscripted array element. It can be a multidimensional object property ; it cannot be a non-multidimensional object property.
$DECIMAL		$DECIMAL( num , n )	ansi	site/RCOS_fdecimal.html#RCOS_fdecimal	$DECIMAL returns a number converted to the InterSystems decimal format , which corresponds to the FLOAT SQL data type . This is the inverse of the operation performed by the $DOUBLE function.
$DOUBLE		$DOUBLE( num )	ansi	site/RCOS_fdouble.html#RCOS_fdouble	$DOUBLE returns a number converted to the IEEE double-precision (64-bit) binary floating-point data type (also known as the InterSystems $DOUBLE format , which corresponds to the DOUBLE and DOUBLE PRECISION SQL data types ). This is the inverse of the operation performed by the $DECIMAL function
$EXTRACT		$EXTRACT( string , from , to ) $E( string , from , to ) SET $EXTRACT( string , from , to )= value SET $E( string , from , to )= value	ansi	site/RCOS_fextract.html#RCOS_fextract	$EXTRACT identifies substrings within string by character count, either from the beginning of string or the end of string . A substring can be a single character or a range of characters.
$FACTOR		$FACTOR( num , scale )	ansi	site/RCOS_ffactor.html#RCOS_ffactor	$FACTOR returns the $BIT format bitstring that corresponds to the binary representation of the supplied integer. It performs the following operations:
$FIND		$FIND( string , substring , position ) $F( string , substring , position )	ansi	site/RCOS_ffind.html#RCOS_ffind	$FIND returns an integer specifying the end position of a substring within a string. $FIND searches string for substring . $FIND is case-sensitive. If substring is found, $FIND returns the integer position of the first character following substring . If substring is not found, $FIND returns a value of 0.
$FNUMBER		$FNUMBER( inumber , format , decimal ) $FN( inumber , format , decimal )	ansi	site/RCOS_ffnumber.html#RCOS_ffnumber	$FNUMBER returns the number specified by inumber in the specified format .
$GET		$GET( variable , default ) $G( variable , default )	ansi	site/RCOS_fget.html#RCOS_fget	$GET returns the data value of a specified variable. The handling of undefined variables depends on whether you specify a default argument.
$INCREMENT		$INCREMENT( variable , num ) $I( variable , num )	ansi	site/RCOS_fincrement.html#RCOS_fincrement	$INCREMENT and $SEQUENCE can both increment local variables, global variables, or process-private globals. $SEQUENCE is typically used on globals.
