canonical_name	abbreviation	format	standard_status_hint	source_section	description
$ZPOSITION	$ZPOS	$ZPOS[ITION]	ydb-extension	ProgrammersGuide/isv.rst#$ZPOSITION	$ZPOS[ITION] contains a string value specifying the current entryref, where entryref is [label][+offset]^routine, and the offset is evaluated from the closest preceding label.
$ZPROMPT	$ZPROM	$ZPROM[PT]	ydb-extension	ProgrammersGuide/isv.rst#$ZPROMPT	$ZPROM[PT] contains a string value specifying the current Direct Mode prompt. By default, YDB> is the Direct Mode prompt. M routines can modify $ZPROMPT by means of a SET command. $ZPROMPT cannot exceed 16 characters. If an attempt is made to assign $ZPROMPT to a longer string, only the first 16 characters will be taken.
$ZQUIT	$ZQUIT	$ZQUIT	ydb-extension	ProgrammersGuide/isv.rst#$ZQUIT	"$ZQUIT indicates whether the functionality associated with the ydb_zquit_anyway environment variable is enabled. If the environment variable ydb_zquit_anyway is defined and evaluates to 1 or any case-independent string or leading substrings of ""TRUE"" or ""YES"", YottaDB sets $ZQUIT to 1 and executes code of the form QUIT <expr< as if it were SET <tmp>=<expr> QUIT:$QUIT tmp QUIT, where <tmp> is a temporary local variable in the YottaDB runtime system that is not visible to the application code. The value of $ZQUIT is a compile time setting, i.e., it can be set during run-time, but it has no effect on the behavior existing object code - it only effects code generated by auto-ZLINK or the ZCOMPILE command. This setting has no effect on late bound code such as that in XECUTE arguments, $ETRAP and $ZTRAP device EXCEPTIONS."
$ZREALSTOR	$ZREALSTOR	$ZREALSTOR	ydb-extension	ProgrammersGuide/isv.rst#$ZREALSTOR	$ZREALSTOR contains the total memory (in bytes) allocated by the YottaDB process, which may or may not actually be in use. It provides one view (see also :ref:`zallocstor-isv` and :ref:`zusedstor-isv`) of the process memory utilization and can help identify storage related problems. YottaDB does not permit $ZREALSTOR to be SET or NEWed.
$ZRELDATE	$ZRELDATE	$ZRELDATE	ydb-extension	ProgrammersGuide/isv.rst#$ZRELDATE	$ZRELDATE provides the UTC date/time of the YottaDB build in the form YYYYMMDD 24:60 ffffffffffffffffffffffffffffffffffffffff (where date/time stamp is in $ZDATE() notation). The third part of the timestamp is the hexadecimal hash assigned by the version control system to identify the last source code commit. While $ZYRELEASE is probably a better identifier for most uses, $ZRELDATE may be a helpful alternative for those testing pre-release builds.
$ZROUTINES	$ZRO	$ZRO[UTINES]	ydb-extension	ProgrammersGuide/isv.rst#$ZROUTINES	$ZRO[UTINES] contains a string value specifying a directory or list of directories containing object files. Each object directory may also have an associated directory, or list of directories, containing the corresponding source files. These directory lists are used by certain YottaDB functions, primarily auto-ZLINK, to locate object and source files. The order in which directories appear in a given list determines the order in which they are searched for the appropriate item.
$ZSOURCE	$ZSO	$ZSO[URCE]	ydb-extension	ProgrammersGuide/isv.rst#$ZSOURCE	$ZSO[URCE] contains a string value specifying the default pathname for the ZEDIT and ZLINK commands. ZEDIT or ZLINK without an argument is equivalent to ZEDIT/ZLINK $ZSOURCE.
$ZSTATUS	$ZS	$ZS[TATUS]	ydb-extension	ProgrammersGuide/isv.rst#$ZSTATUS	$ZS[TATUS] contains a string value specifying the error condition code and location of the last exception condition that occurred during routine execution.
$ZSTEP	$ZST	$ZST[EP]	ydb-extension	ProgrammersGuide/isv.rst#$ZSTEP	$ZST[EP] contains a string value specifying the default action for the ZSTEP command. $ZSTEP provides the ZSTEP action only when the ZSTEP command does not specify an action.
$ZSTRPLLIM	$ZSTRP	$ZSTRP[LLIM]	ydb-extension	ProgrammersGuide/isv.rst#$ZSTRPLLIM	$ZSTRP[LLIM] provides a way for a process to limit its process private memory used for local variable and scratch storage. When the value is 0 or negative, the default, there is no limit. A positive value specifies a byte limit. An attempt to assign a value smaller than the minimum value (150,000 bytes) will assign the minimum value to $ZSTRPLLIM. When a request for additional memory exceeds the limit, YottaDB does the expansion and then produces an STPCRIT error. By default, a later request for memory produces an STPOFLOW, unless subsequent to STPCRIT , $ZSTRPLLIM has been set to the same or higher limit. Note that YottaDB allocates memory in large blocks so the interaction of $ZSTRPLLIM with memory growth is not exact. When the ydb_string_pool_limit environment variable specifies a positive value, YottaDB uses it for the initial value of $ZSTRPLLIM.
$ZSYSTEM	$ZSY	$ZSY[STEM]	ydb-extension	ProgrammersGuide/isv.rst#$ZSYSTEM	$ZSY[STEM] holds the value of the status code for the last subprocess invoked with the ZSYSTEM command.
$ZTEXIT	$ZTE	$ZTE[XIT]	ydb-extension	ProgrammersGuide/isv.rst#$ZTEXIT	$ZTE[XIT] contains an expression that controls the YottaDB interrupt facility at the transaction commit or rollback. At each outermost TCOMMIT or TROLLBACK, If +$ZTEXIT evaluates to non-zero (TRUE), then $ZINTERRUPT is XECUTEd after completing the commit or rollback.
$ZTIMEOUT	$ZTIMEOUT	$ZTIMEOUT	ydb-extension	ProgrammersGuide/isv.rst#$ZTIMEOUT	$ZTIMEOUT controls a single process wide timer. The format of the $ZTIMEOUT ISV is:
$ZTRAP	$ZT	$ZT[RAP]	ydb-extension	ProgrammersGuide/isv.rst#$ZTRAP	$ZT[RAP] contains a string value that YottaDB XECUTEs when an error occurs during routine execution.
$ZUSEDSTOR	$ZUSEDSTOR	$ZUSEDSTOR	ydb-extension	ProgrammersGuide/isv.rst#$ZUSEDSTOR	$ZUSEDSTOR is the value in $ZALLOCSTOR minus storage management overhead and represents the actual memory, in bytes, requested by current activities. It provides one view (see also :ref:`zallocstor-isv` and :ref:`zrealstor-isv`) of the process memory utilization and can help identify storage related problems. YottaDB does not permit $ZUSEDSTOR to be SET or NEWed.
$ZUT	$ZUT	$ZUT	ydb-extension	ProgrammersGuide/isv.rst#$ZUT	$ZUT (UNIX time or universal time) returns the number of microseconds since January 1, 1970 00:00:00 UTC, which provides a time stamp for directly comparing different timezones. $ZUT accuracy is subject to the precision of the system clock (use man gettimeofday from the UNIX shell for more information).
$ZVERSION	$ZV	$ZV[ERSION]	ydb-extension	ProgrammersGuide/isv.rst#$ZVERSION	$ZV[ERSION] contains a string value identifying the GT.M version on which the YottaDB release is built. $ZV[ERSION] is a space-delimited string with four pieces as follows:
$ZYERROR	$ZYER	$ZYER[ROR]	ydb-extension	ProgrammersGuide/isv.rst#$ZYERROR	$ZYER[ROR] is a read/write ISV that contains a string value pointing to an entryref. After YottaDB encounters an error, if $ZYERROR is set to a non-null value, YottaDB invokes the routine at the entryref specified by $ZYERROR with an implicit DO. It is intended that the code invoked by $ZYERROR use the value of $ZSTATUS to select or construct a value to which it SETs $ZERROR. If $ZYERROR is not a valid entryref or if an error occurs while executing the entryref specified by $ZYERROR, YottaDB SETs $ZERROR to the error status encountered. YottaDB then returns control to the M code specified by $ETRAP/$ZTRAP or device EXCEPTION.
$ZYINTRSIG	$ZYINTRSIG	$ZYINTRSIG	ydb-extension	ProgrammersGuide/isv.rst#$ZYINTRSIG	"$ZYINTRSIG is a read only ISV that holds the value :code:`""SIGUSR1""` or :code:`""SIGUSR2""` depending on whether a :code:`SIGUSR1` or :code:`SIGUSR2` signal triggers the current :code:`$ZINTERRUPT` invocation (i.e. if :code:`$ZININTERRUPT` is 1). If :code:`$ZININTERRUPT` is 0, :code:`$ZYINTRSIG` holds the value :code:`"" ""`. Note that the value can be :code:`""SIGUSR2""` only if the environment variable :code:`ydb_treat_sigusr2_like_sigusr1` was set to a non-zero value."
$ZYJOBPARENT	$ZYJO	$ZYJO[BPARENT]	ydb-extension	ProgrammersGuide/isv.rst#$ZYJOBPARENT	$ZYJO[BPARENT] is a read only ISV that contains the PID of the process that invoked the current process with the JOB command. If the current process was not invoked with the JOB command, $ZYJOBPARENT is 0.
