concept	name	pragmatic_tier	standard_status	in_anno	in_ydb	in_iris	anno_section	ydb_section	iris_section
intrinsic-functions	$NAME	core	ansi	true	true	true	pages/a107098.html#7.1.5.10	ProgrammersGuide/functions.rst#$NAME()	site/RCOS_fname.html#RCOS_fname
intrinsic-functions	$NCONVERT	iris-only	iris-extension	false	false	true			site/RCOS_fnconvert.html#RCOS_fnconvert
intrinsic-functions	$NEXT	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/functions.rst#$NEXT()	
intrinsic-functions	$NORMALIZE	iris-only	iris-extension	false	false	true			site/RCOS_fnormalize.html#RCOS_fnormalize
intrinsic-functions	$NOW	iris-only	iris-extension	false	false	true			site/RCOS_fnow.html#RCOS_fnow
intrinsic-functions	$NUMBER	iris-only	iris-extension	false	false	true			site/RCOS_fnumber.html#RCOS_fnumber
intrinsic-functions	$ORDER	core	ansi	true	true	true	pages/a107100.html#7.1.5.11	ProgrammersGuide/functions.rst#$ORDER()	site/RCOS_forder.html#RCOS_forder
intrinsic-functions	$PARAMETER	iris-only	iris-extension	false	false	true			site/RCOS_fparameter.html#RCOS_fparameter
intrinsic-functions	$PIECE	core	ansi	true	true	true	pages/a107101.html#7.1.5.12	ProgrammersGuide/functions.rst#$PIECE()	site/RCOS_fpiece.html#RCOS_fpiece
intrinsic-functions	$PREFETCHOFF	iris-only	iris-extension	false	false	true			site/RCOS_fprefetchoff.html#RCOS_fprefetchoff
intrinsic-functions	$PREFETCHON	iris-only	iris-extension	false	false	true			site/RCOS_fprefetchon.html#RCOS_fprefetchon
intrinsic-functions	$PROPERTY	iris-only	iris-extension	false	false	true			site/RCOS_fproperty.html#RCOS_fproperty
intrinsic-functions	$QLENGTH	core	ansi	true	true	true	pages/a107102.html#7.1.5.13	ProgrammersGuide/functions.rst#$QLENGTH()	site/RCOS_fqlength.html#RCOS_fqlength
intrinsic-functions	$QSUBSCRIPT	core	ansi	true	true	true	pages/a107103.html#7.1.5.14	ProgrammersGuide/functions.rst#$QSUBSCRIPT()	site/RCOS_fqsubscript.html#RCOS_fqsubscript
intrinsic-functions	$QUERY	core	ansi	true	true	true	pages/a107104.html#7.1.5.15	ProgrammersGuide/functions.rst#$QUERY()	site/RCOS_fquery.html#RCOS_fquery
intrinsic-functions	$RANDOM	core	ansi	true	true	true	pages/a107105.html#7.1.5.16	ProgrammersGuide/functions.rst#$RANDOM()	site/RCOS_frandom.html#RCOS_frandom
intrinsic-functions	$REPLACE	iris-only	iris-extension	false	false	true			site/RCOS_freplace.html#RCOS_freplace
intrinsic-functions	$REVERSE	core	ansi	true	true	true	pages/a107106.html#7.1.5.17	ProgrammersGuide/functions.rst#$REVERSE()	site/RCOS_freverse.html#RCOS_freverse
intrinsic-functions	$SCONVERT	iris-only	iris-extension	false	false	true			site/RCOS_fsconvert.html#RCOS_fsconvert
intrinsic-functions	$SELECT	core	ansi	true	true	true	pages/a107107.html#7.1.5.18	ProgrammersGuide/functions.rst#$SELECT()	site/RCOS_fselect.html#RCOS_fselect
intrinsic-functions	$SEQUENCE	iris-only	iris-extension	false	false	true			site/RCOS_fsequence.html#RCOS_fsequence
intrinsic-functions	$SORTBEGIN	iris-only	iris-extension	false	false	true			site/RCOS_fsortbegin.html#RCOS_fsortbegin
intrinsic-functions	$SORTEND	iris-only	iris-extension	false	false	true			site/RCOS_fsortend.html#RCOS_fsortend
intrinsic-functions	$STACK	ydb-only	ansi	true	true	false	pages/a107108.html#7.1.5.19	ProgrammersGuide/functions.rst#$STACK()	
intrinsic-functions	$TEXT	core	ansi	true	true	true	pages/a107109.html#7.1.5.20	ProgrammersGuide/functions.rst#$TEXT()	site/RCOS_ftext.html#RCOS_ftext
intrinsic-functions	$TRANSLATE	core	ansi	true	true	true	pages/a107111.html#7.1.5.21	ProgrammersGuide/functions.rst#$TRANSLATE()	site/RCOS_ftranslate.html#RCOS_ftranslate
intrinsic-functions	$TYPE	ansi-unimplemented	ansi	true	false	false	pages/a107110.html#7.1.5.25		
intrinsic-functions	$VECTOR	iris-only	iris-extension	false	false	true			site/RCOS_fvector.html#RCOS_fvector
intrinsic-functions	$VECTORDEFINED	iris-only	iris-extension	false	false	true			site/RCOS_fvectordefined.html#RCOS_fvectordefined
intrinsic-functions	$VECTOROP	iris-only	iris-extension	false	false	true			site/RCOS_fvectorop.html#RCOS_fvectorop
intrinsic-functions	$VIEW	core	ansi	true	true	true	pages/a107112.html#7.1.5.22	ProgrammersGuide/functions.rst#$VIEW()	site/RCOS_fview.html#RCOS_fview
intrinsic-functions	$WASCII	iris-only	iris-extension	false	false	true			site/RCOS_fwascii.html#RCOS_fwascii
intrinsic-functions	$WCHAR	iris-only	iris-extension	false	false	true			site/RCOS_fwchar.html#RCOS_fwchar
intrinsic-functions	$WEXTRACT	iris-only	iris-extension	false	false	true			site/RCOS_fwextract.html#RCOS_fwextract
intrinsic-functions	$WFIND	iris-only	iris-extension	false	false	true			site/RCOS_fwfind.html#RCOS_fwfind
intrinsic-functions	$WISWIDE	iris-only	iris-extension	false	false	true			site/RCOS_fwiswide.html#RCOS_fwiswide
intrinsic-functions	$WLENGTH	iris-only	iris-extension	false	false	true			site/RCOS_fwlength.html#RCOS_fwlength
intrinsic-functions	$WREVERSE	iris-only	iris-extension	false	false	true			site/RCOS_fwreverse.html#RCOS_fwreverse
intrinsic-functions	$XECUTE	iris-only	iris-extension	false	false	true			site/RCOS_fxecute.html#RCOS_fxecute
intrinsic-functions	$Z	ansi-unimplemented	ansi	true	false	false	pages/a107113.html#7.1.5.23		
intrinsic-functions	$ZABS	iris-only	iris-extension	false	false	true			site/RCOS_fzabs.html#RCOS_fzabs
intrinsic-functions	$ZAHANDLE	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/functions.rst#$ZAHANDLE()	
intrinsic-functions	$ZARCCOS	iris-only	iris-extension	false	false	true			site/RCOS_fzarccos.html#RCOS_fzarccos
intrinsic-functions	$ZARCSIN	iris-only	iris-extension	false	false	true			site/RCOS_fzarcsin.html#RCOS_fzarcsin
intrinsic-functions	$ZARCTAN	iris-only	iris-extension	false	false	true			site/RCOS_fzarctan.html#RCOS_fzarctan
intrinsic-functions	$ZASCII	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/functions.rst#$ZASCII()	
intrinsic-functions	$ZATRANSFORM	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/functions.rst#$ZATRANSFORM()	
intrinsic-functions	$ZBITAND	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/functions.rst#$ZBIT Functions	
intrinsic-functions	$ZBOOLEAN	iris-only	iris-extension	false	false	true			site/RCOS_fzboolean.html#RCOS_fzboolean
intrinsic-functions	$ZCHAR	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/functions.rst#$ZCHAR()	
intrinsic-functions	$ZCOLLATE	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/functions.rst#$ZCOLLATE()	
intrinsic-functions	$ZCONVERT	core	multi-vendor-ext	false	true	true		ProgrammersGuide/functions.rst#$ZCONVERT()	site/RCOS_fzconvert.html#RCOS_fzconvert
intrinsic-functions	$ZCOS	iris-only	iris-extension	false	false	true			site/RCOS_fzcos.html#RCOS_fzcos
intrinsic-functions	$ZCOT	iris-only	iris-extension	false	false	true			site/RCOS_fzcot.html#RCOS_fzcot
intrinsic-functions	$ZCRC	iris-only	iris-extension	false	false	true			site/RCOS_fzcrc.html#RCOS_fzcrc
intrinsic-functions	$ZCSC	iris-only	iris-extension	false	false	true			site/RCOS_fzcsc.html#RCOS_fzcsc
intrinsic-functions	$ZCYC	iris-only	iris-extension	false	false	true			site/RCOS_fzcyc.html#RCOS_fzcyc
intrinsic-functions	$ZDASCII	iris-only	iris-extension	false	false	true			site/RCOS_fzdascii.html#RCOS_fzdascii
intrinsic-functions	$ZDATA	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/functions.rst#$ZDATA()	
intrinsic-functions	$ZDATE	core	multi-vendor-ext	false	true	true		ProgrammersGuide/functions.rst#$ZDATE()	site/RCOS_fzdate.html#RCOS_fzdate
intrinsic-functions	$ZDATEH	iris-only	iris-extension	false	false	true			site/RCOS_fzdateh.html#RCOS_fzdateh
intrinsic-functions	$ZDATETIME	iris-only	iris-extension	false	false	true			site/RCOS_fzdatetime.html#RCOS_fzdatetime
intrinsic-functions	$ZDATETIMEH	iris-only	iris-extension	false	false	true			site/RCOS_fzdatetimeh.html#RCOS_fzdatetimeh
intrinsic-functions	$ZDCHAR	iris-only	iris-extension	false	false	true			site/RCOS_fzdchar.html#RCOS_fzdchar
intrinsic-functions	$ZEXP	iris-only	iris-extension	false	false	true			site/RCOS_fzexp.html#RCOS_fzexp
intrinsic-functions	$ZEXTRACT	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/functions.rst#$ZEXTRACT()	
intrinsic-functions	$ZF	iris-only	iris-extension	false	false	true			site/RCOS_fzf.html#RCOS_fzf
intrinsic-functions	$ZFIND	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/functions.rst#$ZFIND()	
intrinsic-functions	$ZGETJPI	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/functions.rst#$ZGETJPI()	
intrinsic-functions	$ZHEX	iris-only	iris-extension	false	false	true			site/RCOS_fzhex.html#RCOS_fzhex
intrinsic-functions	$ZISWIDE	iris-only	iris-extension	false	false	true			site/RCOS_fziswide.html#RCOS_fziswide
intrinsic-functions	$ZJOBEXAM	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/functions.rst#$ZJOBEXAM()	
intrinsic-functions	$ZJUSTIFY	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/functions.rst#$ZJUSTIFY()	
intrinsic-functions	$ZLASCII	iris-only	iris-extension	false	false	true			site/RCOS_fzlascii.html#RCOS_fzlascii
intrinsic-functions	$ZLCHAR	iris-only	iris-extension	false	false	true			site/RCOS_fzlchar.html#RCOS_fzlchar
intrinsic-functions	$ZLENGTH	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/functions.rst#$ZLENGTH()	
intrinsic-functions	$ZLN	iris-only	iris-extension	false	false	true			site/RCOS_fzln.html#RCOS_fzln
intrinsic-functions	$ZLOG	iris-only	iris-extension	false	false	true			site/RCOS_fzlog.html#RCOS_fzlog
intrinsic-functions	$ZMESSAGE	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/functions.rst#$ZMESSAGE()	
intrinsic-functions	$ZPARSE	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/functions.rst#$ZPARSE()	
intrinsic-functions	$ZPEEK	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/functions.rst#$ZPEEK()	
intrinsic-functions	$ZPIECE	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/functions.rst#$ZPIECE()	
intrinsic-functions	$ZPOWER	iris-only	iris-extension	false	false	true			site/RCOS_fzpower.html#RCOS_fzpower
intrinsic-functions	$ZPREVIOUS	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/functions.rst#$ZPREVIOUS()	
intrinsic-functions	$ZQASCII	iris-only	iris-extension	false	false	true			site/RCOS_fzqascii.html#RCOS_fzqascii
intrinsic-functions	$ZQCHAR	iris-only	iris-extension	false	false	true			site/RCOS_fzqchar.html#RCOS_fzqchar
intrinsic-functions	$ZQGBLMOD	ydb-only	ydb-extension	false	true	false		ProgrammersGuide/functions.rst#$ZQGBLMOD()	
intrinsic-functions	$ZSEARCH	core	multi-vendor-ext	false	true	true		ProgrammersGuide/functions.rst#$ZSEARCH()	site/RCOS_fzsearch.html#RCOS_fzsearch
intrinsic-functions	$ZSEC	iris-only	iris-extension	false	false	true			site/RCOS_fzsec.html#RCOS_fzsec
intrinsic-functions	$ZSEEK	iris-only	iris-extension	false	false	true			site/RCOS_fzseek.html#RCOS_fzseek
