in_anno	in_ydb	ydb_section	standard_status	mnemonic	summary	kind
false	true	MessageRecovery/errors.rst#CITABENV	ydb-extension	CITABENV	Environment variable for call-in table xxxx not set	Run Time Error
false	true	MessageRecovery/errors.rst#CITABOPN	ydb-extension	CITABOPN	Unable to open call-in table: xxxx	Run Time Error
false	true	MessageRecovery/errors.rst#CIUNTYPE	ydb-extension	CIUNTYPE	Unknown parameter type encountered	Error
false	true	MessageRecovery/errors.rst#CLIERR	ydb-extension	CLIERR	xxxx	Run Time Error
false	true	MessageRecovery/errors.rst#CLISTRTOOLONG	ydb-extension	CLISTRTOOLONG	SSSS specified is BBBB bytes long which is greater than the allowed maximum of MMMM bytes	Error
false	true	MessageRecovery/errors.rst#CLOSEFAIL	ydb-extension	CLOSEFAIL	Error while closing file descriptor dddd	Run Time Error
false	true	MessageRecovery/errors.rst#CLSTCONFLICT	ydb-extension	CLSTCONFLICT	Cluster conflict opening database file xxxx; could not secure access. Already open on node yyyy.	Run Time Error
false	true	MessageRecovery/errors.rst#CMD	ydb-extension	CMD	Command expected but not found	Compile Time Error
false	true	MessageRecovery/errors.rst#CMDERR	ydb-extension	CMDERR	Error running command : cccc	Error
false	true	MessageRecovery/errors.rst#CMEXCDASTLM	ydb-extension	CMEXCDASTLM	Exceeded AST limit. Cannot open database.	Error
false	true	MessageRecovery/errors.rst#CMICHECK	ydb-extension	CMICHECK	Internal CMI error. Report to your GT.M Support Channel.	Error
false	true	MessageRecovery/errors.rst#CMINTQUE	ydb-extension	CMINTQUE	Interlock failure accessing GT.CM server queue	Error
false	true	MessageRecovery/errors.rst#CMSYSSRV	ydb-extension	CMSYSSRV	Error doing system service, status:	Error
false	true	MessageRecovery/errors.rst#CNOTONSYS	ydb-extension	CNOTONSYS	Command is not supported by this operating system	Compile Time Error
false	true	MessageRecovery/errors.rst#COLLARGLONG	ydb-extension	COLLARGLONG	Collation sequence nnn does not contain routines for long strings	Run Time Error
false	true	MessageRecovery/errors.rst#COLLATIONUNDEF	ydb-extension	COLLATIONUNDEF	Collation type xxxx is not defined	Run Time Error
false	true	MessageRecovery/errors.rst#COLLDATAEXISTS	ydb-extension	COLLDATAEXISTS	Collation type cannot be changed while xxxxyyyy data exists	Run Time Error
false	true	MessageRecovery/errors.rst#COLLFNMISSING	ydb-extension	COLLFNMISSING	Routine xxx is not found for collation sequence nnn	Run Time Error
false	true	MessageRecovery/errors.rst#COLLTYPVERSION	ydb-extension	COLLTYPVERSION	Collation type xxxx, version yyyy mismatch	Run Time Error
false	true	MessageRecovery/errors.rst#COLON	ydb-extension	COLON	Colon (:) expected in this context	Compile Time Error
false	true	MessageRecovery/errors.rst#COLTRANSSTR2LONG	ydb-extension	COLTRANSSTR2LONG	Output string after collation transformation is too long	Run Time Error
false	true	MessageRecovery/errors.rst#COMMA	ydb-extension	COMMA	Comma expected in this context	Compile Time Error
false	true	MessageRecovery/errors.rst#COMMAORRPAREXP	ydb-extension	COMMAORRPAREXP	Comma or right parenthesis expected but not found	Compile Time Error
false	true	MessageRecovery/errors.rst#COMMENT	ydb-extension	COMMENT	Comment line. Placed zbreak at next executable line.	Information
false	true	MessageRecovery/errors.rst#COMMFILTERERR	ydb-extension	COMMFILTERERR	Error executing the command filter for FFFF. DDDD	Run Time Error
false	true	MessageRecovery/errors.rst#COMMITWAITPID	ydb-extension	COMMITWAITPID	Pid wwww waited tttt minute(s) for pid pppp to finish commits to block dddd in database file xxxx	Warning
